codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00740108;OS OUDEHASKE 20-4i;0.9032258064516129;31
BU00740109;OS HEERENVEEN 10-1i;0.6428571428571429;14
BU00740110;OS OUDEHASKE 20-4i;0.78125;32
BU00740201;OS OUDEHASKE 10-2i;0.5625;16
BU00740202;OS HEERENVEEN 10-1i;0.8461538461538461;13
BU00740203;OS HEERENVEEN 10-1i;0.9166666666666666;24
BU00740204;OS HEERENVEEN 10-1i;1.0;5
BU00740205;OS OUDEHASKE 10-2i;1.0;9
BU00740301;OS OUDEHASKE 20-4i;1.0;36
BU00740302;OS GORREDIJK 10-1i;0.5333333333333333;15
BU00740401;OS HEERENVEEN 10-1i;1.0;58
BU00740402;OS HEERENVEEN 10-1i;1.0;25
BU00740403;OS HEERENVEEN 10-1i;0.9473684210526315;19
BU00740404;OS GORREDIJK 10-1i;0.9607843137254902;51
BU00740405;OS GORREDIJK 10-1i;1.0;28
BU00740406;OS GORREDIJK 10-1i;1.0;116
BU00740407;OS GORREDIJK 10-1i;0.9032258064516129;31
BU00740601;OS HEERENVEEN 10-1i;1.0;59
BU00740701;OS OUDEHASKE 10-2i;1.0;16
BU00740702;OS OUDEHASKE 10-2i;1.0;6
BU00740901;OS OUDEHASKE 10-2i;1.0;119
BU00740902;OS OUDEHASKE 10-2i;0.9629629629629629;27
BU00740903;OS OUDEHASKE 10-2i;1.0;68
BU00801001;OS SCHENKENSCHANS 10-2i;1.0;48
BU00801002;OS SCHENKENSCHANS 10-2i;1.0;23
BU00801003;OS SCHENKENSCHANS 10-2i;1.0;23
BU00801004;OS SCHENKENSCHANS 10-2i;1.0;35
BU00801005;OS SCHENKENSCHANS 10-2i;1.0;20
BU00801006;OS SCHENKENSCHANS 10-2i;0.9166666666666666;12
BU00801007;OS SCHENKENSCHANS 10-2i;0.8666666666666667;15
BU00801008;OS LEEUWARDEN 10-4i;0.7272727272727273;11
BU00801101;OS LEEUWARDEN 10-4i;1.0;12
BU00801102;OS LEEUWARDEN 10-4i;1.0;28
BU00801103;OS LEEUWARDEN 10-4i;1.0;70
BU00801104;OS LEEUWARDEN 10-4i;1.0;31
BU00801105;OS LEEUWARDEN 10-4i;1.0;20
BU00801106;OS LEEUWARDEN 10-4i;1.0;24
BU00801107;OS LEEUWARDEN 10-4i;1.0;8
BU00801108;OS LEEUWARDEN 10-4i;1.0;35
BU00801109;OS LEEUWARDEN 10-4i;1.0;8
BU00802001;OS SCHENKENSCHANS 10-2i;0.7704918032786885;61
BU00802002;OS SCHENKENSCHANS 10-2i;0.5106382978723404;47
BU00802003;OS LEEUWARDEN 10-4i;0.9850746268656716;67
BU00802004;OS LEEUWARDEN 10-4i;1.0;50
BU00802005;OS LEEUWARDEN 10-4i;1.0;19
BU00802006;OS LEEUWARDEN 10-4i;1.0;20
BU00802007;OS LEEUWARDEN 10-4i;1.0;39
BU00802008;OS LEEUWARDEN 10-4i;1.0;31
BU00802009;OS LEEUWARDEN 10-4i;1.0;45
BU00803001;OS SCHENKENSCHANS 10-2i;1.0;39
BU00803002;OS SCHENKENSCHANS 10-2i;1.0;36
BU00803003;OS SCHENKENSCHANS 10-2i;1.0;22
BU00803004;OS SCHENKENSCHANS 10-2i;0.9777777777777777;45
BU00803005;OS SCHENKENSCHANS 10-2i;0.9846153846153847;65
BU00803006;OS SCHENKENSCHANS 10-2i;0.5106382978723404;47
BU00803007;OS SCHENKENSCHANS 10-2i;0.5;6
BU00803101;OS SCHENKENSCHANS 10-1i;1.0;89
BU00803102;OS SCHENKENSCHANS 10-1i;0.6;5
BU00803201;OS SCHENKENSCHANS 10-2i;0.8598130841121495;107
BU00803202;OS SCHENKENSCHANS 10-1i;1.0;17
BU00803203;OS SCHENKENSCHANS 10-1i;1.0;5
BU00803204;OS SCHENKENSCHANS 10-1i;1.0;4
BU00804001;OS LEEUWARDEN 10-4i;1.0;59
BU00804002;OS LEEUWARDEN 10-4i;0.972972972972973;37
BU00804003;OS LEEUWARDEN 10-4i;0.9782608695652174;46
BU00804004;OS LEEUWARDEN 10-4i;0.5774647887323944;71
BU00804101;OS SCHENKENSCHANS 10-1i;0.7946428571428571;112
BU00804102;OS SCHENKENSCHANS 10-1i;1.0;5
BU00804103;OS SCHENKENSCHANS 10-1i;1.0;7
BU00804104;OS SCHENKENSCHANS 10-9i;0.625;8
