waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
De Stichtse Rijnlanden;U10/U16;Doorn;20.09;41.0;2317.05;1135.35;;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03473847933261;5.31561518306603;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Kockengen;8.575;17.5;484.6;0.0;;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.14929959978104;4.95340872046039;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Oud Zuilen;0.0;0.0;0.0;0.0;;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.12756309454968;5.06928436818616;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Broekdijk;2.205;4.5;62.3;0.0;;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.16941291747911;4.993456189298159;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Nieuwegein;135.485;276.5;7813.0;3828.37;;;GM0356;;;;GM0356;;;;GM0356;;;False;False;False;52.007683677877495;5.076045418009692;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Oud Londen;0.98;2.0;55.38;0.0;;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.0901111267428;5.285856495850606;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Austerlitz;2.205;4.5;124.61;0.0;;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.08012056004827;5.310717985246209;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Noordweg;58.8;120.0;3390.81;1661.49;;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.08951826026299;5.21437630586351;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Phillips van Bourgondielaan;48.265;98.5;2783.29;1363.81;;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.081909931775975;5.220444876524626;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;IJsselstein;39.69;81.0;4577.6;2243.02;;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.02417135195531;5.044028698440119;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;Midden-Holland;AWTG Bodegraven Willem de Zwijgerstraat;20.58;42.0;2373.57;1163.04;;;GM1901;2411.0;;;GM1901;2411.0;;;GM1901;2411.0;;False;False;False;52.089283035168386;4.751022146529897;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;Midden-Holland;AWTG Bodegraven Willem de Zwijgerstraat;20.58;42.0;2373.57;1163.04;;;GM1901;2411.0;;;GM1901;2411.0;;;GM1901;2411.0;;False;False;False;52.089283035168386;4.751022146529897;WarmteAtlas:TEA_assets_zonder_wko;;;
