child_transformer_id;parent_transformer_id
CM36;Station Veenendaal 't Goeie Spoor 150
TT011_10;Station Oudeland 150
CM08;Station Gouda 150 kV
CM80;Station Goes de Poel 150
TT113_10;Station Zoetermeer 150 kV
CM10;Station Merwedekanaal
TS072_10;Station Nieuwegein 150
CM11;Station Bunschoten
TT073_10;Station Gouda 150 kV
TT085_13;Station Arkel 150
TT082_13;Station Dordrecht Merwedehaven 150 kV
CM19/30;Station Zoetermeer 150 kV
TS061_10;Station Soest 150
CM39;Station Oudenrijn 150
TZ020_25;Station Zoetermeer 150 kV
TS049_10;Station Soest 150
TT056_10;Station Rijswijk 150 kV
TT057_10;Station Rijswijk 150 kV
TT058_10;Station Voorburg 150 kV
TT071_10;Station Gouda 150 kV
TT048_10;Station Zoetermeer 150 kV
TT059_10;Station s Gravenhage 150 kV
TT102_10;Station Delft 150 kV
CM44;Station Kruiningen 150
CM53;Station Rijswijk 150 kV
CM00;Station Middelharnis 150
TS085_10;Station Utrecht Lage Weide 150
TS084_10;Station Soest 150
TS081_10;Station Utrecht Lage Weide 150
TS080_10;Station Nieuwegein 150
TS077_10;Station Utrecht Lage Weide 150
TH058_23;Station Maasvlakte 150
TT023_10;Station Geervliet 150
CM32;Station Alphen a/d Rijn 150 kV
CM33;Station Alphen a/d Rijn 150 kV
CM59;Station Driebergen 150
TT047_10;Station Zoetermeer 150 kV
TH060_23;Station Rotterdam Centrum 150 kV
CM52;Station Voorburg 150 kV
TS046_10;Station Driebergen 150
TS045_10;Station Soest 150
TT024_25;Station Ommoord 150 kV
CM12;Station Driebergen 150
CM56/78;Station Voorburg 150 kV
CM56/78;Station Zoetermeer 150 kV
TH230_10;Station Willem Anna Polder 150
CM57;Station Oudenrijn 150
TT146_23;Station Maasvlakte 150
TT143_13;Station Krimpen a/d IJssel 150 kV
TT134_23;Station Rotterdam Marconistraat 150 kV
TT133_23;Station Voorburg 150 kV
TT120_10;Station Zoetermeer 150 kV
TT119_23;Station Delft 150 kV
TT115_10;Station Delft 150 kV
TT041_23;Station Ommoord 150 kV
TS052_10;Station Oudenrijn 150
TS051_10;Station Nieuwegein 150
TT108_10;Station Ypenburg 150 kV
TT107_10;Station Zoetermeer 150 kV
TT105_10;Station Delft 150 kV
